LIMA;88599
CALLAO;10852
AREQUIPA;8683
TRUJILLO;7365
CHICLAYO;6962
PIURA;5916
SANTA;4331
ICA;3920
HUANCAYO;3864
MAYNAS;3147
CORONEL PORTILLO;2918
CHINCHA;2765
CUSCO;2639
SULLANA;2515
TACNA;2171
CAÑETE;2152
HUAURA;2043
CAJAMARCA;1676
HUANUCO;1672
LAMBAYEQUE;1655
HUARAL;1517
PISCO;1504
PUNO;1502
SAN ROMAN;1491
TALARA;1369
TUMBES;1316
HUAMANGA;1305
MORROPON;1297
BARRANCA;1239
SAN MARTIN;1145
HUARAZ;1125
PAITA;1010
JAEN;992
CHANCHAMAYO;975
ASCOPE;913
MARISCAL NIETO;836
ILO;814
TAMBOPATA;782
PACASMAYO;765
CHEPEN;752
NAZCA;710
FERREÑAFE;676
PASCO;647
ABANCAY;645
TARMA;623
LEONCIO PRADO;590
HUAROCHIRI;582
JAUJA;581
HUANCAVELICA;579
LA CONVENCION;576
ANDAHUAYLAS;528
CAYLLOMA;506
CANCHIS;495
ISLAY;482
SATIPO;479
BAGUA;455
SECHURA;455
CAMANA;442
MOYOBAMBA;439
VIRU;436
ALTO AMAZONAS;424
OXAPAMPA;379
CASMA;360
QUISPICANCHI;355
RIOJA;349
YAULI;344
CHUPACA;341
UTCUBAMBA;332
AYABACA;316
HUANTA;309
CHOTA;299
AZANGARO;291
MARISCAL CACERES;289
SAN IGNACIO;288
ZARUMILLA;281
CHACHAPOYAS;279
CONCEPCION;254
ANTA;245
MELGAR;242
LAMAS;241
HUAYLAS;236
HUARMEY;235
EL COLLAO;234
CAJABAMBA;228
CUTERVO;228
CARAVELI;228
TOCACHE;226
TAYACAJA;225
HUANCABAMBA;223
URUBAMBA;219
CELENDIN;218
CHUCUITO;209
SANCHEZ CARRION;205
BELLAVISTA;203
LUCANAS;202
OTUZCO;195
REQUENA;195
PADRE ABAD;186
HUALGAYOC;185
PALPA;185
YUNGUYO;185
HUANCANE;177
AMBO;177
LA MAR;174
CASTILLA;174
CHUMBIVILCAS;168
ANGARAES;163
CHINCHEROS;163
CARHUAZ;162
CONTRALMIRANTE VILLAR;159
PICOTA;159
LORETO;155
HUARI;154
LAMPA;150
UCAYALI;150
MARISCAL RAMON CASTILLA;145
ACOBAMBA;142
JUNIN;141
YUNGAY;141
CARABAYA;141
CALCA;139
ESPINAR;137
PARINACOCHAS;134
SAN MIGUEL;127
SANTIAGO DE CHUCO;125
COTABAMBAS;122
SAN MARCOS;122
AYMARAES;114
DATEM DEL MARAÑON;113
HUAMALIES;113
DOS DE MAYO;109
PATAZ;108
ATALAYA;107
SANDIA;106
CONDORCANQUI;105
DANIEL ALCIDES CARRION;105
CONTUMAZA;104
CANAS;98
YAUYOS;97
HUALLAGA;97
BOLOGNESI;96
POMABAMBA;95
SANTA CRUZ;95
OYON;93
PAUCARTAMBO;90
LUYA;88
CANTA;86
PALLASCA;81
EL DORADO;80
CANGALLO;78
RECUAY;76
CONDESUYOS;75
PARURO;75
GRAN CHIMU;75
BONGARA;72
GRAU;72
CHURCAMPA;72
HUAYTARA;70
SIHUAS;69
PACHITEA;66
SAN ANTONIO DE PUTINA;64
VICTOR FAJARDO;61
CAJATAMBO;61
RODRIGUEZ DE MENDOZA;60
GENERAL SANCHEZ CERRO;59
ACOMAYO;55
PUERTO INCA;55
SAN PABLO;53
PAUCAR DEL SARA SARA;53
TAHUAMANU;53
LAURICOCHA;52
ANTABAMBA;52
YAROWILCA;49
MANU;49
VILCAS HUAMAN;49
MARISCAL LUZURIAGA;47
CASTROVIRREYNA;46
LA UNION;46
JULCAN;44
MOHO;44
JORGE BASADRE;43
MARAÑON;38
SUCRE;37
CARLOS FERMIN FITZCARRALD;34
TARATA;33
ANTONIO RAIMONDI;31
HUACAYBAMBA;30
AIJA;26
OCROS;24
BOLIVAR;22
PUTUMAYO;22
HUANCA SANCOS;21
ASUNCION;21
CORONGO;19
CANDARAVE;18
PURUS;6
NULL;3
